city,province,year,total_precipitation_mm,total_rain_mm,total_snowfall_cm,total_precip_hours,rainy_days,heavy_rain_days_gt25mm,very_heavy_days_gt50mm,extreme_days_gt100mm,max_daily_precip_mm,avg_daily_precip_mm
Gujranwala,Punjab,2002,857.3,857.3,0.0,719.0,139,5,2,1,180.2,2.35
Gujranwala,Punjab,2003,1027.4,1027.4,0.0,1028.0,157,8,4,0,72.6,2.81
Gujranwala,Punjab,2004,745.0,745.0,0.0,775.0,130,3,1,0,81.7,2.04
Gujranwala,Punjab,2005,829.1,829.1,0.0,928.0,152,6,2,0,60.0,2.27
Gujranwala,Punjab,2006,806.7,806.7,0.0,970.0,153,5,0,0,45.8,2.21
Gujranwala,Punjab,2007,840.7,840.7,0.0,918.0,154,5,1,0,56.4,2.3
Gujranwala,Punjab,2008,1120.9,1120.9,0.0,1113.0,180,10,3,0,71.4,3.06
Gujranwala,Punjab,2009,741.1,741.1,0.0,711.0,141,4,2,1,136.2,2.03
Gujranwala,Punjab,2010,855.6,855.6,0.0,854.0,148,7,2,0,62.3,2.34
Gujranwala,Punjab,2011,769.6,769.6,0.0,933.0,169,5,0,0,42.0,2.11
Gujranwala,Punjab,2012,706.2,706.2,0.0,927.0,164,1,0,0,25.7,1.93
Gujranwala,Punjab,2013,980.6,980.6,0.0,1070.0,153,8,1,0,93.1,2.69
Gujranwala,Punjab,2014,1055.7,1055.7,0.0,889.0,151,10,4,2,106.5,2.89
Gujranwala,Punjab,2015,1198.2,1198.2,0.0,1168.0,163,11,1,0,83.9,3.28
Gujranwala,Punjab,2016,688.3,688.3,0.0,764.0,132,3,0,0,47.2,1.88
Gujranwala,Punjab,2017,663.1,663.1,0.0,814.0,151,3,0,0,32.7,1.82
Gujranwala,Punjab,2018,631.5,631.5,0.0,731.0,139,4,1,0,53.6,1.73
Gujranwala,Punjab,2019,689.3,689.3,0.0,965.0,169,3,0,0,44.3,1.89
Gujranwala,Punjab,2020,797.8,797.8,0.0,837.0,129,6,0,0,38.1,2.18
Gujranwala,Punjab,2021,497.9,497.9,0.0,620.0,123,3,1,0,56.8,1.36
Gujranwala,Punjab,2022,794.3,794.3,0.0,755.0,124,8,1,0,79.5,2.18
Gujranwala,Punjab,2023,827.4,827.4,0.0,694.0,147,6,1,0,64.4,2.27
Gujranwala,Punjab,2024,827.7,827.7,0.0,658.0,130,7,0,0,48.6,2.26
Gujranwala,Punjab,2025,806.5,806.5,0.0,681.0,129,7,2,0,54.4,2.21
Khanewal,Punjab,2000,160.6,160.6,0.0,247.0,59,0,0,0,21.8,0.44
Khanewal,Punjab,2001,240.3,240.3,0.0,325.0,79,0,0,0,22.4,0.66
Khanewal,Punjab,2002,127.1,127.1,0.0,217.0,67,0,0,0,16.2,0.35
Khanewal,Punjab,2003,266.8,266.8,0.0,341.0,82,1,0,0,44.5,0.73
Khanewal,Punjab,2004,193.3,193.3,0.0,301.0,72,1,0,0,28.5,0.53
Khanewal,Punjab,2005,326.7,326.7,0.0,410.0,89,1,0,0,26.5,0.9
Khanewal,Punjab,2006,289.8,289.8,0.0,382.0,100,1,0,0,25.3,0.79
Khanewal,Punjab,2007,246.3,246.3,0.0,389.0,89,0,0,0,15.4,0.67
Khanewal,Punjab,2008,383.1,383.1,0.0,459.0,99,1,1,0,57.5,1.05
Khanewal,Punjab,2009,159.6,159.6,0.0,230.0,69,0,0,0,16.2,0.44
Khanewal,Punjab,2010,354.1,354.1,0.0,417.0,84,3,0,0,35.2,0.97
Khanewal,Punjab,2011,305.8,305.8,0.0,475.0,108,0,0,0,22.9,0.84
Khanewal,Punjab,2012,287.0,287.0,0.0,387.0,93,1,0,0,29.7,0.78
Khanewal,Punjab,2013,303.5,303.5,0.0,394.0,84,1,0,0,29.8,0.83
Khanewal,Punjab,2014,215.1,215.1,0.0,304.0,82,0,0,0,16.5,0.59
Khanewal,Punjab,2015,422.3,422.3,0.0,535.0,119,0,0,0,22.4,1.16
Khanewal,Punjab,2016,252.5,252.5,0.0,373.0,90,0,0,0,21.7,0.69
Khanewal,Punjab,2017,290.6,290.6,0.0,364.0,100,1,0,0,31.8,0.8
Khanewal,Punjab,2018,213.7,213.7,0.0,260.0,70,3,0,0,39.2,0.59
Khanewal,Punjab,2019,345.4,345.4,0.0,464.0,106,0,0,0,20.0,0.95
Khanewal,Punjab,2020,334.9,334.9,0.0,443.0,78,1,0,0,33.1,0.92
Khanewal,Punjab,2021,121.7,121.7,0.0,187.0,55,0,0,0,12.6,0.33
Khanewal,Punjab,2022,405.4,405.4,0.0,437.0,86,2,1,0,53.4,1.11
Khanewal,Punjab,2023,349.3,349.3,0.0,280.0,89,2,0,0,34.3,0.96
Khanewal,Punjab,2024,304.2,304.2,0.0,327.0,75,0,0,0,24.1,0.83
Khanewal,Punjab,2025,200.1,200.1,0.0,229.0,59,0,0,0,18.5,0.55
Lahore,Punjab,2000,423.3,423.3,0.0,571.0,127,1,0,0,29.4,1.16
Lahore,Punjab,2001,629.2,629.2,0.0,708.0,131,4,0,0,41.5,1.72
Lahore,Punjab,2002,394.5,394.5,0.0,488.0,129,2,0,0,34.5,1.08
Lahore,Punjab,2003,610.4,610.4,0.0,725.0,133,4,0,0,46.7,1.67
Lahore,Punjab,2004,454.3,454.3,0.0,518.0,114,1,1,0,66.6,1.24
Lahore,Punjab,2005,552.1,552.1,0.0,739.0,141,2,0,0,28.9,1.51
Lahore,Punjab,2006,529.7,529.7,0.0,674.0,127,2,0,0,36.8,1.45
Lahore,Punjab,2007,578.8,578.8,0.0,732.0,147,2,0,0,28.4,1.59
Lahore,Punjab,2008,748.3,748.3,0.0,772.0,142,4,1,1,129.5,2.04
Lahore,Punjab,2009,389.3,389.3,0.0,467.0,113,2,1,0,52.2,1.07
